# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
23
0 -1 EULER_XYZ mixamorig:RightArm
1 0 EULER_XYZ mixamorig:RightForeArm
2 1 EULER_XYZ mixamorig:RightHand
3 2 EULER_XYZ mixamorig:RightHandThumb1
4 3 EULER_XYZ mixamorig:RightHandThumb2
5 4 EULER_XYZ mixamorig:RightHandThumb3
6 5 EULER_XYZ mixamorig:RightHandThumb3_end
7 2 EULER_XYZ mixamorig:RightHandIndex1
8 7 EULER_XYZ mixamorig:RightHandIndex2
9 8 EULER_XYZ mixamorig:RightHandIndex3
10 9 EULER_XYZ mixamorig:RightHandIndex3_end
11 2 EULER_XYZ mixamorig:RightHandMiddle1
12 11 EULER_XYZ mixamorig:RightHandMiddle2
13 12 EULER_XYZ mixamorig:RightHandMiddle3
14 13 EULER_XYZ mixamorig:RightHandMiddle3_end
15 2 EULER_XYZ mixamorig:RightHandRing1
16 15 EULER_XYZ mixamorig:RightHandRing2
17 16 EULER_XYZ mixamorig:RightHandRing3
18 17 EULER_XYZ mixamorig:RightHandRing3_end
19 2 EULER_XYZ mixamorig:RightHandPinky1
20 19 EULER_XYZ mixamorig:RightHandPinky2
21 20 EULER_XYZ mixamorig:RightHandPinky3
22 21 EULER_XYZ mixamorig:RightHandPinky3_end
