# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
65
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 3 EULER_XYZ mixamorig:LeftShoulder
8 7 EULER_XYZ mixamorig:LeftArm
9 8 EULER_XYZ mixamorig:LeftForeArm
10 9 EULER_XYZ mixamorig:LeftHand
11 10 EULER_XYZ mixamorig:LeftHandThumb1
12 11 EULER_XYZ mixamorig:LeftHandThumb2
13 12 EULER_XYZ mixamorig:LeftHandThumb3
14 13 EULER_XYZ mixamorig:LeftHandThumb4
15 10 EULER_XYZ mixamorig:LeftHandIndex1
16 15 EULER_XYZ mixamorig:LeftHandIndex2
17 16 EULER_XYZ mixamorig:LeftHandIndex3
18 17 EULER_XYZ mixamorig:LeftHandIndex4
19 10 EULER_XYZ mixamorig:LeftHandMiddle1
20 19 EULER_XYZ mixamorig:LeftHandMiddle2
21 20 EULER_XYZ mixamorig:LeftHandMiddle3
22 21 EULER_XYZ mixamorig:LeftHandMiddle4
23 10 EULER_XYZ mixamorig:LeftHandRing1
24 23 EULER_XYZ mixamorig:LeftHandRing2
25 24 EULER_XYZ mixamorig:LeftHandRing3
26 25 EULER_XYZ mixamorig:LeftHandRing4
27 10 EULER_XYZ mixamorig:LeftHandPinky1
28 27 EULER_XYZ mixamorig:LeftHandPinky2
29 28 EULER_XYZ mixamorig:LeftHandPinky3
30 29 EULER_XYZ mixamorig:LeftHandPinky4
31 3 EULER_XYZ mixamorig:RightShoulder
32 31 EULER_XYZ mixamorig:RightArm
33 32 EULER_XYZ mixamorig:RightForeArm
34 33 EULER_XYZ mixamorig:RightHand
35 34 EULER_XYZ mixamorig:RightHandThumb1
36 35 EULER_XYZ mixamorig:RightHandThumb2
37 36 EULER_XYZ mixamorig:RightHandThumb3
38 37 EULER_XYZ mixamorig:RightHandThumb4
39 34 EULER_XYZ mixamorig:RightHandIndex1
40 39 EULER_XYZ mixamorig:RightHandIndex2
41 40 EULER_XYZ mixamorig:RightHandIndex3
42 41 EULER_XYZ mixamorig:RightHandIndex4
43 34 EULER_XYZ mixamorig:RightHandMiddle1
44 43 EULER_XYZ mixamorig:RightHandMiddle2
45 44 EULER_XYZ mixamorig:RightHandMiddle3
46 45 EULER_XYZ mixamorig:RightHandMiddle4
47 34 EULER_XYZ mixamorig:RightHandRing1
48 47 EULER_XYZ mixamorig:RightHandRing2
49 48 EULER_XYZ mixamorig:RightHandRing3
50 49 EULER_XYZ mixamorig:RightHandRing4
51 34 EULER_XYZ mixamorig:RightHandPinky1
52 51 EULER_XYZ mixamorig:RightHandPinky2
53 52 EULER_XYZ mixamorig:RightHandPinky3
54 53 EULER_XYZ mixamorig:RightHandPinky4
55 0 EULER_XYZ mixamorig:LeftUpLeg
56 55 EULER_XYZ mixamorig:LeftLeg
57 56 EULER_XYZ mixamorig:LeftFoot
58 57 EULER_XYZ mixamorig:LeftToeBase
59 58 EULER_XYZ mixamorig:LeftToe_End
60 0 EULER_XYZ mixamorig:RightUpLeg
61 60 EULER_XYZ mixamorig:RightLeg
62 61 EULER_XYZ mixamorig:RightFoot
63 62 EULER_XYZ mixamorig:RightToeBase
64 63 EULER_XYZ mixamorig:RightToe_End
