# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
78
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 6 EULER_XYZ mixamorig:HeadTop_End_end
8 3 EULER_XYZ mixamorig:LeftShoulder
9 8 EULER_XYZ mixamorig:LeftArm
10 9 EULER_XYZ mixamorig:LeftForeArm
11 10 EULER_XYZ mixamorig:LeftHand
12 11 EULER_XYZ mixamorig:LeftHandThumb1
13 12 EULER_XYZ mixamorig:LeftHandThumb2
14 13 EULER_XYZ mixamorig:LeftHandThumb3
15 14 EULER_XYZ mixamorig:LeftHandThumb4
16 15 EULER_XYZ mixamorig:LeftHandThumb4_end
17 11 EULER_XYZ mixamorig:LeftHandIndex1
18 17 EULER_XYZ mixamorig:LeftHandIndex2
19 18 EULER_XYZ mixamorig:LeftHandIndex3
20 19 EULER_XYZ mixamorig:LeftHandIndex4
21 20 EULER_XYZ mixamorig:LeftHandIndex4_end
22 11 EULER_XYZ mixamorig:LeftHandMiddle1
23 22 EULER_XYZ mixamorig:LeftHandMiddle2
24 23 EULER_XYZ mixamorig:LeftHandMiddle3
25 24 EULER_XYZ mixamorig:LeftHandMiddle4
26 25 EULER_XYZ mixamorig:LeftHandMiddle4_end
27 11 EULER_XYZ mixamorig:LeftHandRing1
28 27 EULER_XYZ mixamorig:LeftHandRing2
29 28 EULER_XYZ mixamorig:LeftHandRing3
30 29 EULER_XYZ mixamorig:LeftHandRing4
31 30 EULER_XYZ mixamorig:LeftHandRing4_end
32 11 EULER_XYZ mixamorig:LeftHandPinky1
33 32 EULER_XYZ mixamorig:LeftHandPinky2
34 33 EULER_XYZ mixamorig:LeftHandPinky3
35 34 EULER_XYZ mixamorig:LeftHandPinky4
36 35 EULER_XYZ mixamorig:LeftHandPinky4_end
37 3 EULER_XYZ mixamorig:RightShoulder
38 37 EULER_XYZ mixamorig:RightArm
39 38 EULER_XYZ mixamorig:RightForeArm
40 39 EULER_XYZ mixamorig:RightHand
41 40 EULER_XYZ mixamorig:RightHandThumb1
42 41 EULER_XYZ mixamorig:RightHandThumb2
43 42 EULER_XYZ mixamorig:RightHandThumb3
44 43 EULER_XYZ mixamorig:RightHandThumb4
45 44 EULER_XYZ mixamorig:RightHandThumb4_end
46 40 EULER_XYZ mixamorig:RightHandIndex1
47 46 EULER_XYZ mixamorig:RightHandIndex2
48 47 EULER_XYZ mixamorig:RightHandIndex3
49 48 EULER_XYZ mixamorig:RightHandIndex4
50 49 EULER_XYZ mixamorig:RightHandIndex4_end
51 40 EULER_XYZ mixamorig:RightHandMiddle1
52 51 EULER_XYZ mixamorig:RightHandMiddle2
53 52 EULER_XYZ mixamorig:RightHandMiddle3
54 53 EULER_XYZ mixamorig:RightHandMiddle4
55 54 EULER_XYZ mixamorig:RightHandMiddle4_end
56 40 EULER_XYZ mixamorig:RightHandRing1
57 56 EULER_XYZ mixamorig:RightHandRing2
58 57 EULER_XYZ mixamorig:RightHandRing3
59 58 EULER_XYZ mixamorig:RightHandRing4
60 59 EULER_XYZ mixamorig:RightHandRing4_end
61 40 EULER_XYZ mixamorig:RightHandPinky1
62 61 EULER_XYZ mixamorig:RightHandPinky2
63 62 EULER_XYZ mixamorig:RightHandPinky3
64 63 EULER_XYZ mixamorig:RightHandPinky4
65 64 EULER_XYZ mixamorig:RightHandPinky4_end
66 0 EULER_XYZ mixamorig:LeftUpLeg
67 66 EULER_XYZ mixamorig:LeftLeg
68 67 EULER_XYZ mixamorig:LeftFoot
69 68 EULER_XYZ mixamorig:LeftToeBase
70 69 EULER_XYZ mixamorig:LeftToe_End
71 70 EULER_XYZ mixamorig:LeftToe_End_end
72 0 EULER_XYZ mixamorig:RightUpLeg
73 72 EULER_XYZ mixamorig:RightLeg
74 73 EULER_XYZ mixamorig:RightFoot
75 74 EULER_XYZ mixamorig:RightToeBase
76 75 EULER_XYZ mixamorig:RightToe_End
77 76 EULER_XYZ mixamorig:RightToe_End_end
