# The first line is the number of bones/joints.
# All other files are:
# <JOINT INDEX> <PARENT INDEX> <ROTATION ORDER> <JOINT NAME>
81
0 -1 EULER_XYZ mixamorig:Hips
1 0 EULER_XYZ mixamorig:Spine
2 1 EULER_XYZ mixamorig:Spine1
3 2 EULER_XYZ mixamorig:Spine2
4 3 EULER_XYZ mixamorig:Neck
5 4 EULER_XYZ mixamorig:Head
6 5 EULER_XYZ mixamorig:HeadTop_End
7 5 EULER_XYZ mixamorig:LeftEye
8 5 EULER_XYZ mixamorig:RightEye
9 5 EULER_XYZ mixamorig:Jaw
10 3 EULER_XYZ mixamorig:LeftShoulder
11 10 EULER_XYZ mixamorig:LeftArm
12 11 EULER_XYZ mixamorig:LeftForeArm
13 12 EULER_XYZ mixamorig:LeftHand
14 13 EULER_XYZ mixamorig:LeftHandThumb1
15 14 EULER_XYZ mixamorig:LeftHandThumb2
16 15 EULER_XYZ mixamorig:LeftHandThumb3
17 16 EULER_XYZ mixamorig:LeftHandThumb4
18 13 EULER_XYZ mixamorig:LeftHandIndex1
19 18 EULER_XYZ mixamorig:LeftHandIndex2
20 19 EULER_XYZ mixamorig:LeftHandIndex3
21 20 EULER_XYZ mixamorig:LeftHandIndex4
22 13 EULER_XYZ mixamorig:LeftHandMiddle1
23 22 EULER_XYZ mixamorig:LeftHandMiddle2
24 23 EULER_XYZ mixamorig:LeftHandMiddle3
25 24 EULER_XYZ mixamorig:LeftHandMiddle4
26 13 EULER_XYZ mixamorig:LeftHandRing1
27 26 EULER_XYZ mixamorig:LeftHandRing2
28 27 EULER_XYZ mixamorig:LeftHandRing3
29 28 EULER_XYZ mixamorig:LeftHandRing4
30 13 EULER_XYZ mixamorig:LeftHandPinky1
31 30 EULER_XYZ mixamorig:LeftHandPinky2
32 31 EULER_XYZ mixamorig:LeftHandPinky3
33 32 EULER_XYZ mixamorig:LeftHandPinky4
34 3 EULER_XYZ mixamorig:RightShoulder
35 34 EULER_XYZ mixamorig:RightArm
36 35 EULER_XYZ mixamorig:RightForeArm
37 36 EULER_XYZ mixamorig:RightHand
38 37 EULER_XYZ mixamorig:RightHandThumb1
39 38 EULER_XYZ mixamorig:RightHandThumb2
40 39 EULER_XYZ mixamorig:RightHandThumb3
41 40 EULER_XYZ mixamorig:RightHandThumb4
42 37 EULER_XYZ mixamorig:RightHandIndex1
43 42 EULER_XYZ mixamorig:RightHandIndex2
44 43 EULER_XYZ mixamorig:RightHandIndex3
45 44 EULER_XYZ mixamorig:RightHandIndex4
46 37 EULER_XYZ mixamorig:RightHandMiddle1
47 46 EULER_XYZ mixamorig:RightHandMiddle2
48 47 EULER_XYZ mixamorig:RightHandMiddle3
49 48 EULER_XYZ mixamorig:RightHandMiddle4
50 37 EULER_XYZ mixamorig:RightHandRing1
51 50 EULER_XYZ mixamorig:RightHandRing2
52 51 EULER_XYZ mixamorig:RightHandRing3
53 52 EULER_XYZ mixamorig:RightHandRing4
54 37 EULER_XYZ mixamorig:RightHandPinky1
55 54 EULER_XYZ mixamorig:RightHandPinky2
56 55 EULER_XYZ mixamorig:RightHandPinky3
57 56 EULER_XYZ mixamorig:RightHandPinky4
58 35 EULER_XYZ mixamorig:RightArmour1
59 58 EULER_XYZ mixamorig:RightArmour2
60 59 EULER_XYZ mixamorig:RightArmour3
61 58 EULER_XYZ mixamorig:RightArmour4
62 61 EULER_XYZ mixamorig:RightArmour5
63 0 EULER_XYZ mixamorig:LeftUpLeg
64 63 EULER_XYZ mixamorig:LeftLeg
65 64 EULER_XYZ mixamorig:LeftFoot
66 65 EULER_XYZ mixamorig:LeftToeBase
67 66 EULER_XYZ mixamorig:LeftToe_End
68 0 EULER_XYZ mixamorig:RightUpLeg
69 68 EULER_XYZ mixamorig:RightLeg
70 69 EULER_XYZ mixamorig:RightFoot
71 70 EULER_XYZ mixamorig:RightToeBase
72 71 EULER_XYZ mixamorig:RightToe_End
73 0 EULER_XYZ mixamorig:FrontCloth1
74 73 EULER_XYZ mixamorig:FrontCloth2
75 74 EULER_XYZ mixamorig:FrontCloth3
76 75 EULER_XYZ mixamorig:FrontCloth4
77 0 EULER_XYZ mixamorig:BackCloth1
78 77 EULER_XYZ mixamorig:BackCloth2
79 78 EULER_XYZ mixamorig:BackCloth3
80 79 EULER_XYZ mixamorig:BackCloth4
